"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-crossgrid-lmm-ml-contract.R","crossgrid-lmm-ml-contract","LMM ML contracts sign covariance-major candidates and patient caps",25,0,FALSE,FALSE,0,1.547,0.129,2.024,25
"test-crossgrid-lmm-ml-contract.R","crossgrid-lmm-ml-contract","LMM ML rejects ambiguous covariance order and uncertified objectives",5,0,FALSE,FALSE,0,0.23,0.032,0.338,5
"test-crossgrid-lmm-public-evidence.R","crossgrid-lmm-public-evidence","cold LMM evidence reads only authenticated public terminal identities",13,0,FALSE,FALSE,0,0.948,0.094,1.304,13
"test-crossgrid-lmm-public-evidence.R","crossgrid-lmm-public-evidence","published LMM evidence verifies compilation without source claims or a session",5,0,FALSE,FALSE,0,0.244,0.037,0.401,5
"test-crossgrid-lmm-sampler-admission.R","crossgrid-lmm-sampler-admission","staged LMM rejects samplers that cannot retain private validity before START",7,0,FALSE,FALSE,0,0.124000000000001,0.001,0.124,7
"test-crossgrid-lmm-sampler-admission.R","crossgrid-lmm-sampler-admission","staged LMM cannot bypass the Synopsis gate through the legacy vector lifecycle",3,0,FALSE,FALSE,0,0.244,0.032,0.388,3
"test-crossgrid-lmm-sampler-admission.R","crossgrid-lmm-sampler-admission","LMM sampler policy reserves the count alongside its 256 candidates",17,0,FALSE,FALSE,0,0.0119999999999996,0.002,0.0140000000000002,17
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid signed contracts authenticate both families with real Ed25519",16,0,FALSE,FALSE,0,0.609,0.108,1.136,16
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid signatures bind bounds, every owner and the compute pair",11,0,FALSE,FALSE,0,0.723,0.116,1.189,11
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid structural validators reject signed malformed public plans",46,0,FALSE,FALSE,0,1.744,0.347,3.399,46
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid private layout separates f50 inputs, integer outcome and bits",8,0,FALSE,FALSE,0,0.0890000000000004,0.023,0.196999999999999,8
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid bounds reject unrepresentable capacities and unsupported dimensions",26,0,FALSE,FALSE,0,0.522,0.0389999999999999,0.646000000000001,26
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid loss caps and adjacency use the existing public formulas",48,0,FALSE,FALSE,0,0.208,0.04,0.424,48
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid profile coefficients, proof and numeric template are immutable",3,0,FALSE,FALSE,0,0.0399999999999991,0.00100000000000011,0.0410000000000004,3
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid signed zero encoding survives canonical round trips",4,0,FALSE,FALSE,0,0.539000000000001,0.093,0.987,4
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid beta L1 comparison is exact at the public boundary",9,0,FALSE,FALSE,0,0.141,0.026,0.25,9
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid scalar identifiers reject JSON array representations",4,0,FALSE,FALSE,0,0.158999999999999,0.034,0.336,4
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","piecewise admission pins new arithmetic, caps and all signatures",22,0,FALSE,FALSE,0,1.476,0.275,2.688,22
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","piecewise source projection preserves frozen f50/f0 slots",32,0,FALSE,FALSE,0,0.339,0.06,0.632999999999999,32
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","grid staging uses the exact worker wire encoding and stable keys",6,0,FALSE,FALSE,0,1.154,0.0779999999999998,1.473,6
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","only the signed grid catalog selects the expanded joint-GC policy",11,0,FALSE,FALSE,0,2.189,0.0930000000000002,2.538,11
"test-dp-glm-grid-cross-contract.R","dp-glm-grid-cross-contract","cross-grid workload admission and source contracts bind the new projection",7,0,FALSE,FALSE,0,0.523000000000001,0.0819999999999999,0.843,7
